#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
280;Jace Peterson;2 Tms;134;430;6;35;37;15;10.9%;23.5%;.096;.270;.211;.304;.307;.275;74;2.1;-11.2;1.2;0.5
281;Christian Bethancourt;TBR;104;332;11;49;33;1;3.9%;27.4%;.156;.278;.225;.254;.381;.271;74;-1.3;-11.7;5.0;0.5
282;Amed Rosario;2 Tms;142;545;6;70;58;15;5.3%;18.2%;.116;.314;.263;.305;.378;.297;88;0.6;-7.0;-7.0;0.5
283;Sean Bouchard;COL;21;43;4;11;7;0;9.3%;32.6%;.368;.381;.316;.372;.684;.432;160;-0.8;2.4;0.7;0.5
284;Brenton Doyle;COL;126;431;10;48;48;22;5.1%;35.0%;.140;.295;.203;.250;.343;.257;43;3.2;-27.4;17.5;0.5
285;Tim Locastro;NYM;43;67;2;13;3;6;4.5%;32.8%;.161;.344;.232;.338;.393;.327;109;1.4;2.2;0.1;0.4
286;Dylan Moore;SEA;67;165;7;18;19;7;9.7%;33.9%;.221;.280;.207;.303;.428;.317;105;-0.1;0.9;-2.0;0.4
287;Matt Thaiss;LAA;95;307;9;32;31;2;11.7%;27.0%;.126;.272;.214;.319;.340;.295;84;-1.9;-7.8;1.8;0.4
288;Edward Olivares;KCR;107;385;12;47;36;11;5.7%;16.6%;.189;.289;.263;.317;.452;.329;105;0.4;2.6;-11.4;0.4
289;JJ Bleday;OAK;82;303;10;35;27;5;13.9%;23.8%;.160;.226;.195;.310;.355;.297;92;0.6;-2.5;-3.4;0.4
290;Cristian Pache;PHI;48;95;2;12;11;2;10.5%;28.4%;.179;.327;.238;.319;.417;.320;99;-0.1;-0.2;1.3;0.4
291;Tyler Heineman;2 Tms;22;47;0;5;3;1;17.0%;17.0%;.079;.300;.237;.383;.316;.325;107;0.5;0.9;1.8;0.4
292;Luke Maile;CIN;78;199;6;17;25;2;7.0%;24.6%;.156;.290;.235;.308;.391;.307;86;-0.8;-4.3;1.9;0.4
293;Josh Bell;2 Tms;150;617;22;52;74;0;10.2%;21.7%;.172;.287;.247;.325;.419;.323;105;-4.6;-1.1;-15.7;0.4
294;Matthew Batten;SDP;43;139;2;19;11;2;12.2%;21.6%;.100;.330;.258;.355;.358;.321;106;-0.2;0.7;-1.2;0.4
295;Adam Frazier;BAL;141;455;13;59;60;11;7.0%;14.9%;.155;.258;.240;.300;.396;.302;93;1.4;-2.4;-8.9;0.4
296;Blake Sabol;SFG;110;344;13;36;44;4;7.0%;34.0%;.158;.330;.235;.301;.394;.303;92;-0.2;-3.5;-3.9;0.4
297;Corey Julks;HOU;93;323;6;35;33;15;6.8%;23.2%;.107;.306;.245;.297;.352;.286;80;1.2;-6.6;-0.2;0.4
298;Michael Massey;KCR;129;461;15;42;55;6;5.2%;21.5%;.152;.261;.229;.274;.381;.283;73;0.9;-14.0;2.5;0.4
299;Brandon Crawford;SFG;94;320;7;31;38;3;8.8%;25.3%;.120;.241;.194;.273;.314;.260;63;0.0;-14.5;7.8;0.4
300;Riley Adams;WSN;44;158;4;8;21;0;7.0%;28.5%;.203;.368;.273;.331;.476;.344;116;0.0;3.1;-4.4;0.4
301;Andrew Vaughn;CHW;152;615;21;67;80;0;5.9%;21.0%;.171;.299;.258;.314;.429;.321;103;-4.5;-2.4;-14.7;0.4
302;René Pinto;TBR;39;105;6;10;16;0;1.9%;32.4%;.204;.317;.252;.267;.456;.306;98;-1.1;-1.4;1.8;0.4
303;Rob Refsnyder;BOS;89;243;1;31;28;7;13.6%;19.3%;.069;.316;.248;.365;.317;.314;93;0.6;-1.5;-2.9;0.4
304;Richie Palacios;STL;32;102;6;9;16;2;5.9%;10.8%;.258;.234;.258;.307;.516;.346;120;0.4;2.9;-2.5;0.4
305;Enmanuel Valdez;BOS;49;149;6;17;19;5;5.4%;24.8%;.187;.323;.266;.311;.453;.328;102;0.6;1.0;-2.3;0.4
306;Jake Marisnick;3 Tms;46;83;2;10;10;2;3.6%;25.3%;.171;.296;.237;.280;.408;.294;85;-0.5;-2.0;2.9;0.4
307;Rougned Odor;SDP;59;157;4;21;18;2;10.8%;23.6%;.152;.247;.203;.299;.355;.291;86;0.9;-1.9;0.3;0.4
308;Hunter Renfroe;2 Tms;140;548;20;60;60;0;8.0%;22.8%;.183;.270;.233;.297;.416;.308;92;-1.6;-6.8;-8.3;0.4
309;Forrest Wall;ATL;15;15;1;6;2;5;13.3%;26.7%;.385;.625;.462;.533;.846;.569;265;0.5;3.6;-0.4;0.4
310;Nick Martini;CIN;29;79;6;10;16;0;6.3%;19.0%;.319;.255;.264;.329;.583;.382;136;0.0;3.5;-2.6;0.4
311;Victor Robles;WSN;36;126;0;15;8;8;8.7%;14.3%;.065;.360;.299;.385;.364;.338;112;1.3;3.1;-3.8;0.4
312;Nick Loftin;KCR;19;68;0;10;10;2;5.9%;17.6%;.113;.392;.323;.368;.435;.348;118;0.4;1.8;-0.7;0.3
313;Austin Wells;NYY;19;75;4;8;13;0;4.0%;18.7%;.257;.226;.229;.257;.486;.309;97;0.3;0.1;0.7;0.3
314;Alek Thomas;ARI;125;402;9;51;39;9;4.7%;21.4%;.144;.273;.230;.273;.374;.278;71;4.8;-9.4;-0.9;0.3
